0      ,  11019                  
1      ,  11020                  
2      ,  11020                  
3      ,  11020                  
4      ,  11021                  
5      ,  11022                  
6      ,  11022                  
7      ,  11023                  
8      ,  11022                  
9      ,  11021                  
10     ,   11021                  
11     ,   11021                  
12     ,   11021                  
13     ,   11021                  
14     ,   11020                  
15     ,   11020                  
16     ,   11020                  
17     ,   11020                  
18     ,   11020                  
19     ,   11020                  
20     ,   11020                  
21     ,   11020                  
22     ,   11020                  
23     ,   11021                  
24     ,   11021                  
25     ,   11020                  
26     ,   11019                  
27     ,   11019                  
28     ,   11019                  
29     ,   11020                  
30     ,   11019                  
31     ,   11019                  
32     ,   11019                  
33     ,   11019                  
34     ,   11019                  
35     ,   11019                  
36     ,   11018                  
37     ,   11019                  
38     ,   11019                  
39     ,   11020                  
40     ,   11020                  
41     ,   11018                  
42     ,   11020                  
43     ,   11017                  
44     ,   11017                  
45     ,   11017                  
46     ,   11017                  
47     ,   11018                  
48     ,   11018                  
49     ,   11018                  
50     ,   11019                  
51     ,   11019                  
52     ,   11019                  
53     ,   11019                  
54     ,   11018                  
55     ,   11017                  
56     ,   11017                  
57     ,   11017                  
58     ,   11017                  
59     ,   11017                  
60     ,   11017                  
61     ,   11017                  
62     ,   11017                  
63     ,   11017                  
64     ,   11019                  
65     ,   11018                  
66     ,   11018                  
67     ,   11018                  
68     ,   11018                  
69     ,   11018                  
70     ,   11018                  
71     ,   11019                  
72     ,   11018                  
73     ,   11019                  
74     ,   11019                  
75     ,   11018                  
76     ,   11018                  
77     ,   11018                  
78     ,   11018                  
79     ,   11019                  
80     ,   11019                  
81     ,   11020                  
82     ,   11019                  
83     ,   11018                  
84     ,   11018                  
85     ,   11018                  
86     ,   11019                  
87     ,   11018                  
88     ,   11018                  
89     ,   11019                  
90     ,   11018                  
91     ,   11018                  
92     ,   11018                  
93     ,   11018                  
94     ,   11020                  
95     ,   11018                  
96     ,   11019                  
97     ,   11019                  
98     ,   11019                  
99     ,   11018                  
100    ,    11018                  
101    ,    11019                  
102    ,    11019                  
103    ,    11020                  
104    ,    11020                  
105    ,    11019                  
106    ,    11020                  
107    ,    11020                  
108    ,    11020                  
109    ,    11020                  
110    ,    11020                  
111    ,    11020                  
112    ,    11019                  
113    ,    11019                  
114    ,    11019                  
115    ,    11019                  
116    ,    11020                  
117    ,    11020                  
118    ,    11020                  
119    ,    11021                  
120    ,    11020                  
121    ,    11019                  
122    ,    11019                  
123    ,    11019                  
124    ,    11019                  
125    ,    11020                  
126    ,    11019                  
127    ,    11019     
